incident_id,incident_category,severity,incident_description,resolution_status,location,clean_text
1,Customs Issue,Low,Customs clearance process delayed. Reported at Chennai facility during shift 3.,Open,Delhi,customs clearance process delay report chennai facility shift
2,Customs Issue,Medium,Customs clearance process delayed. Reported at Mumbai facility during shift 3.,Open,Mumbai,customs clearance process delay report mumbai facility shift
3,Inventory Shortage,Low,Demand exceeded available stock levels. Reported at Chennai facility during shift 3.,Resolved,Kolkata,demand exceed available stock level report chennai facility shift
4,Inventory Shortage,High,Inventory forecast underestimated demand. Reported at Hyderabad facility during shift 1.,Open,Kolkata,inventory forecast underestimate demand report hyderabad facility shift
5,Damaged Goods,Critical,Shipment contents damaged in transit. Reported at Delhi facility during shift 1.,In Progress,Mumbai,shipment content damage transit report delhi facility shift
6,Shipment Delay,High,Delivery delayed due to traffic disruption. Reported at Mumbai facility during shift 2.,Resolved,Hyderabad,delivery delay due traffic disruption report mumbai facility shift
7,Warehouse Issue,Low,Warehouse stock mismatch identified. Reported at Ahmedabad facility during shift 3.,In Progress,Mumbai,warehouse stock mismatch identify report ahmedabad facility shift
8,Documentation Error,Low,Required compliance document missing. Reported at Pune facility during shift 3.,Open,Chennai,require compliance document miss report pune facility shift
9,Customs Issue,High,Border inspection extended shipment hold. Reported at Hyderabad facility during shift 1.,Open,Kolkata,border inspection extend shipment hold report hyderabad facility shift
10,Damaged Goods,Medium,Improper handling caused item breakage. Reported at Pune facility during shift 1.,Open,Hyderabad,improper handle cause item breakage report pune facility shift
11,Customs Issue,Medium,Country-specific restriction affected import. Reported at Mumbai facility during shift 3.,Resolved,Bengaluru,countryspecific restriction affect import report mumbai facility shift
12,Inventory Shortage,Critical,Inventory forecast underestimated demand. Reported at Kolkata facility during shift 2.,Resolved,Bengaluru,inventory forecast underestimate demand report kolkata facility shift
13,Customs Issue,High,Customs requested additional documentation. Reported at Chennai facility during shift 1.,In Progress,Kolkata,customs request additional documentation report chennai facility shift
14,Damaged Goods,High,Product packaging torn during loading. Reported at Bengaluru facility during shift 3.,In Progress,Bengaluru,product package tear load report bengaluru facility shift
15,Customs Issue,Medium,Import permit approval pending. Reported at Kolkata facility during shift 3.,In Progress,Delhi,import permit approval pending report kolkata facility shift
16,Inventory Shortage,Medium,Procurement delay affected inventory availability. Reported at Hyderabad facility during shift 3.,Resolved,Kolkata,procurement delay affect inventory availability report hyderabad facility shift
17,Damaged Goods,Medium,Forklift accident damaged inventory. Reported at Delhi facility during shift 3.,Open,Mumbai,forklift accident damage inventory report delhi facility shift
18,Inventory Shortage,Medium,Raw material shortage impacted production. Reported at Delhi facility during shift 3.,Open,Kolkata,raw material shortage impact production report delhi facility shift
19,Transportation Failure,Low,Route planning error delayed movement. Reported at Ahmedabad facility during shift 3.,Resolved,Chennai,route plan error delay movement report ahmedabad facility shift
20,Customs Issue,High,Regulatory approval pending clearance. Reported at Mumbai facility during shift 3.,In Progress,Pune,regulatory approval pending clearance report mumbai facility shift
21,Shipment Delay,Medium,Carrier scheduling issue caused shipment delay. Reported at Kolkata facility during shift 1.,Resolved,Hyderabad,carrier schedule issue cause shipment delay report kolkata facility shift
22,Documentation Error,Critical,Invoice value discrepancy identified. Reported at Delhi facility during shift 3.,Resolved,Hyderabad,invoice value discrepancy identify report delhi facility shift
23,Warehouse Issue,Medium,Dock congestion slowed warehouse throughput. Reported at Bengaluru facility during shift 1.,Open,Chennai,dock congestion slow warehouse throughput report bengaluru facility shift
24,Documentation Error,Low,Incorrect consignee information provided. Reported at Ahmedabad facility during shift 1.,In Progress,Hyderabad,incorrect consignee information provide report ahmedabad facility shift
25,Inventory Shortage,Critical,Warehouse stock shortage detected. Reported at Bengaluru facility during shift 3.,Open,Ahmedabad,warehouse stock shortage detect report bengaluru facility shift
26,Warehouse Issue,Medium,Picking error occurred in warehouse. Reported at Delhi facility during shift 1.,Resolved,Delhi,pick error occur warehouse report delhi facility shift
27,Damaged Goods,Critical,Temperature excursion affected product quality. Reported at Kolkata facility during shift 1.,Resolved,Bengaluru,temperature excursion affect product quality report kolkata facility shift
28,Customs Issue,Medium,Regulatory verification delayed release. Reported at Kolkata facility during shift 3.,In Progress,Ahmedabad,regulatory verification delay release report kolkata facility shift
29,Shipment Delay,Medium,Unexpected weather conditions slowed transportation. Reported at Bengaluru facility during shift 1.,Resolved,Bengaluru,unexpected weather condition slow transportation report bengaluru facility shift
30,Documentation Error,High,Bill of lading information mismatch detected. Reported at Chennai facility during shift 1.,Open,Bengaluru,bill lade information mismatch detect report chennai facility shift
31,Shipment Delay,Low,Mechanical failure delayed freight movement. Reported at Chennai facility during shift 2.,Open,Hyderabad,mechanical failure delay freight movement report chennai facility shift
32,Customs Issue,Low,Import permit approval pending. Reported at Bengaluru facility during shift 3.,Resolved,Ahmedabad,import permit approval pending report bengaluru facility shift
33,Inventory Shortage,Low,Unexpected order spike exhausted stock. Reported at Ahmedabad facility during shift 2.,Open,Kolkata,unexpected order spike exhaust stock report ahmedabad facility shift
34,Damaged Goods,High,Pallet collapse resulted in product damage. Reported at Kolkata facility during shift 2.,Open,Mumbai,pallet collapse result product damage report kolkata facility shift
35,Shipment Delay,Low,Delivery delayed due to traffic disruption. Reported at Pune facility during shift 1.,Open,Ahmedabad,delivery delay due traffic disruption report pune facility shift
36,Inventory Shortage,Medium,Supplier delay created inventory gap. Reported at Delhi facility during shift 2.,Open,Ahmedabad,supplier delay create inventory gap report delhi facility shift
37,Warehouse Issue,Medium,Warehouse staffing shortage reported. Reported at Mumbai facility during shift 1.,Resolved,Chennai,warehouse staff shortage report report mumbai facility shift
38,Shipment Delay,Medium,Mechanical failure delayed freight movement. Reported at Bengaluru facility during shift 1.,In Progress,Bengaluru,mechanical failure delay freight movement report bengaluru facility shift
39,Warehouse Issue,Medium,Order picking queue exceeded capacity. Reported at Chennai facility during shift 1.,In Progress,Hyderabad,order pick queue exceed capacity report chennai facility shift
40,Warehouse Issue,Medium,Space constraint affected storage operations. Reported at Ahmedabad facility during shift 2.,Resolved,Ahmedabad,space constraint affect storage operations report ahmedabad facility shift
41,Inventory Shortage,Critical,Demand exceeded available stock levels. Reported at Hyderabad facility during shift 1.,Resolved,Chennai,demand exceed available stock level report hyderabad facility shift
42,Customs Issue,Medium,Customs requested additional documentation. Reported at Chennai facility during shift 1.,Resolved,Delhi,customs request additional documentation report chennai facility shift
43,Shipment Delay,Low,Cargo loading completed behind schedule. Reported at Mumbai facility during shift 1.,Open,Bengaluru,cargo load complete behind schedule report mumbai facility shift
44,Transportation Failure,Medium,Transport route disruption due to road closure. Reported at Bengaluru facility during shift 3.,Resolved,Mumbai,transport route disruption due road closure report bengaluru facility shift
45,Transportation Failure,Low,Accident blocked scheduled delivery route. Reported at Pune facility during shift 2.,Resolved,Pune,accident block schedule delivery route report pune facility shift
46,Inventory Shortage,Medium,Stockout occurred at fulfillment center. Reported at Kolkata facility during shift 1.,In Progress,Ahmedabad,stockout occur fulfillment center report kolkata facility shift
47,Damaged Goods,Medium,Receiving inspection identified damaged goods. Reported at Mumbai facility during shift 1.,Resolved,Mumbai,receive inspection identify damage goods report mumbai facility shift
48,Shipment Delay,Low,Cargo loading completed behind schedule. Reported at Bengaluru facility during shift 3.,In Progress,Mumbai,cargo load complete behind schedule report bengaluru facility shift
49,Inventory Shortage,Medium,Safety stock threshold breached. Reported at Hyderabad facility during shift 1.,Resolved,Hyderabad,safety stock threshold breach report hyderabad facility shift
50,Documentation Error,High,Invoice value discrepancy identified. Reported at Chennai facility during shift 3.,In Progress,Mumbai,invoice value discrepancy identify report chennai facility shift
51,Inventory Shortage,High,Stockout occurred at fulfillment center. Reported at Mumbai facility during shift 1.,Open,Hyderabad,stockout occur fulfillment center report mumbai facility shift
52,Damaged Goods,Medium,Container impact damaged shipment contents. Reported at Bengaluru facility during shift 3.,Resolved,Hyderabad,container impact damage shipment content report bengaluru facility shift
53,Documentation Error,Low,Export declaration contained errors. Reported at Hyderabad facility during shift 1.,In Progress,Hyderabad,export declaration contain errors report hyderabad facility shift
54,Shipment Delay,Medium,Shipment delayed due to customs inspection. Reported at Pune facility during shift 1.,In Progress,Delhi,shipment delay due customs inspection report pune facility shift
55,Customs Issue,Low,Import permit approval pending. Reported at Kolkata facility during shift 3.,Open,Delhi,import permit approval pending report kolkata facility shift
56,Documentation Error,Medium,Incorrect shipping documentation submitted. Reported at Pune facility during shift 3.,In Progress,Delhi,incorrect ship documentation submit report pune facility shift
57,Shipment Delay,High,Carrier scheduling issue caused shipment delay. Reported at Pune facility during shift 1.,Open,Bengaluru,carrier schedule issue cause shipment delay report pune facility shift
58,Customs Issue,High,Customs clearance process delayed. Reported at Pune facility during shift 3.,In Progress,Delhi,customs clearance process delay report pune facility shift
59,Inventory Shortage,High,Inventory reservation conflict identified. Reported at Delhi facility during shift 1.,Open,Delhi,inventory reservation conflict identify report delhi facility shift
