incident_id,incident_category,severity,incident_description,resolution_status,location
1,Customs Issue,Low,Customs clearance process delayed. Reported at Chennai facility during shift 3.,Open,Delhi
2,Customs Issue,Medium,Customs clearance process delayed. Reported at Mumbai facility during shift 3.,Open,Mumbai
3,Inventory Shortage,Low,Demand exceeded available stock levels. Reported at Chennai facility during shift 3.,Resolved,Kolkata
4,Inventory Shortage,High,Inventory forecast underestimated demand. Reported at Hyderabad facility during shift 1.,Open,Kolkata
5,Damaged Goods,Critical,Shipment contents damaged in transit. Reported at Delhi facility during shift 1.,In Progress,Mumbai
6,Shipment Delay,High,Delivery delayed due to traffic disruption. Reported at Mumbai facility during shift 2.,Resolved,Hyderabad
7,Warehouse Issue,Low,Warehouse stock mismatch identified. Reported at Ahmedabad facility during shift 3.,In Progress,Mumbai
8,Documentation Error,Low,Required compliance document missing. Reported at Pune facility during shift 3.,Open,Chennai
9,Customs Issue,High,Border inspection extended shipment hold. Reported at Hyderabad facility during shift 1.,Open,Kolkata
10,Damaged Goods,Medium,Improper handling caused item breakage. Reported at Pune facility during shift 1.,Open,Hyderabad
11,Customs Issue,Medium,Country-specific restriction affected import. Reported at Mumbai facility during shift 3.,Resolved,Bengaluru
12,Inventory Shortage,Critical,Inventory forecast underestimated demand. Reported at Kolkata facility during shift 2.,Resolved,Bengaluru
13,Customs Issue,High,Customs requested additional documentation. Reported at Chennai facility during shift 1.,In Progress,Kolkata
14,Damaged Goods,High,Product packaging torn during loading. Reported at Bengaluru facility during shift 3.,In Progress,Bengaluru
15,Customs Issue,Medium,Import permit approval pending. Reported at Kolkata facility during shift 3.,In Progress,Delhi
16,Inventory Shortage,Medium,Procurement delay affected inventory availability. Reported at Hyderabad facility during shift 3.,Resolved,Kolkata
17,Damaged Goods,Medium,Forklift accident damaged inventory. Reported at Delhi facility during shift 3.,Open,Mumbai
18,Inventory Shortage,Medium,Raw material shortage impacted production. Reported at Delhi facility during shift 3.,Open,Kolkata
19,Transportation Failure,Low,Route planning error delayed movement. Reported at Ahmedabad facility during shift 3.,Resolved,Chennai
20,Customs Issue,High,Regulatory approval pending clearance. Reported at Mumbai facility during shift 3.,In Progress,Pune
21,Shipment Delay,Medium,Carrier scheduling issue caused shipment delay. Reported at Kolkata facility during shift 1.,Resolved,Hyderabad
22,Documentation Error,Critical,Invoice value discrepancy identified. Reported at Delhi facility during shift 3.,Resolved,Hyderabad
23,Warehouse Issue,Medium,Dock congestion slowed warehouse throughput. Reported at Bengaluru facility during shift 1.,Open,Chennai
24,Documentation Error,Low,Incorrect consignee information provided. Reported at Ahmedabad facility during shift 1.,In Progress,Hyderabad
25,Inventory Shortage,Critical,Warehouse stock shortage detected. Reported at Bengaluru facility during shift 3.,Open,Ahmedabad
26,Warehouse Issue,Medium,Picking error occurred in warehouse. Reported at Delhi facility during shift 1.,Resolved,Delhi
27,Damaged Goods,Critical,Temperature excursion affected product quality. Reported at Kolkata facility during shift 1.,Resolved,Bengaluru
28,Customs Issue,Medium,Regulatory verification delayed release. Reported at Kolkata facility during shift 3.,In Progress,Ahmedabad
29,Shipment Delay,Medium,Unexpected weather conditions slowed transportation. Reported at Bengaluru facility during shift 1.,Resolved,Bengaluru
30,Documentation Error,High,Bill of lading information mismatch detected. Reported at Chennai facility during shift 1.,Open,Bengaluru
31,Shipment Delay,Low,Mechanical failure delayed freight movement. Reported at Chennai facility during shift 2.,Open,Hyderabad
32,Customs Issue,Low,Import permit approval pending. Reported at Bengaluru facility during shift 3.,Resolved,Ahmedabad
33,Inventory Shortage,Low,Unexpected order spike exhausted stock. Reported at Ahmedabad facility during shift 2.,Open,Kolkata
34,Damaged Goods,High,Pallet collapse resulted in product damage. Reported at Kolkata facility during shift 2.,Open,Mumbai
35,Shipment Delay,Low,Delivery delayed due to traffic disruption. Reported at Pune facility during shift 1.,Open,Ahmedabad
36,Inventory Shortage,Medium,Supplier delay created inventory gap. Reported at Delhi facility during shift 2.,Open,Ahmedabad
37,Warehouse Issue,Medium,Warehouse staffing shortage reported. Reported at Mumbai facility during shift 1.,Resolved,Chennai
38,Shipment Delay,Medium,Mechanical failure delayed freight movement. Reported at Bengaluru facility during shift 1.,In Progress,Bengaluru
39,Warehouse Issue,Medium,Order picking queue exceeded capacity. Reported at Chennai facility during shift 1.,In Progress,Hyderabad
40,Warehouse Issue,Medium,Space constraint affected storage operations. Reported at Ahmedabad facility during shift 2.,Resolved,Ahmedabad
41,Inventory Shortage,Critical,Demand exceeded available stock levels. Reported at Hyderabad facility during shift 1.,Resolved,Chennai
42,Customs Issue,Medium,Customs requested additional documentation. Reported at Chennai facility during shift 1.,Resolved,Delhi
43,Shipment Delay,Low,Cargo loading completed behind schedule. Reported at Mumbai facility during shift 1.,Open,Bengaluru
44,Transportation Failure,Medium,Transport route disruption due to road closure. Reported at Bengaluru facility during shift 3.,Resolved,Mumbai
45,Transportation Failure,Low,Accident blocked scheduled delivery route. Reported at Pune facility during shift 2.,Resolved,Pune
46,Inventory Shortage,Medium,Stockout occurred at fulfillment center. Reported at Kolkata facility during shift 1.,In Progress,Ahmedabad
47,Damaged Goods,Medium,Receiving inspection identified damaged goods. Reported at Mumbai facility during shift 1.,Resolved,Mumbai
48,Shipment Delay,Low,Cargo loading completed behind schedule. Reported at Bengaluru facility during shift 3.,In Progress,Mumbai
49,Inventory Shortage,Medium,Safety stock threshold breached. Reported at Hyderabad facility during shift 1.,Resolved,Hyderabad
50,Documentation Error,High,Invoice value discrepancy identified. Reported at Chennai facility during shift 3.,In Progress,Mumbai
51,Inventory Shortage,High,Stockout occurred at fulfillment center. Reported at Mumbai facility during shift 1.,Open,Hyderabad
52,Damaged Goods,Medium,Container impact damaged shipment contents. Reported at Bengaluru facility during shift 3.,Resolved,Hyderabad
53,Documentation Error,Low,Export declaration contained errors. Reported at Hyderabad facility during shift 1.,In Progress,Hyderabad
54,Shipment Delay,Medium,Shipment delayed due to customs inspection. Reported at Pune facility during shift 1.,In Progress,Delhi
55,Customs Issue,Low,Import permit approval pending. Reported at Kolkata facility during shift 3.,Open,Delhi
56,Documentation Error,Medium,Incorrect shipping documentation submitted. Reported at Pune facility during shift 3.,In Progress,Delhi
57,Shipment Delay,High,Carrier scheduling issue caused shipment delay. Reported at Pune facility during shift 1.,Open,Bengaluru
58,Customs Issue,High,Customs clearance process delayed. Reported at Pune facility during shift 3.,In Progress,Delhi
59,Inventory Shortage,High,Inventory reservation conflict identified. Reported at Delhi facility during shift 1.,Open,Delhi
60,Customs Issue,High,Country-specific restriction affected import. Reported at Pune facility during shift 2.,Resolved,Bengaluru
61,Damaged Goods,High,Goods arrived with visible damage. Reported at Mumbai facility during shift 2.,In Progress,Bengaluru
62,Inventory Shortage,Medium,Inventory reservation conflict identified. Reported at Ahmedabad facility during shift 2.,Open,Bengaluru
63,Shipment Delay,Medium,Shipment rerouted causing additional transit time. Reported at Bengaluru facility during shift 2.,Open,Hyderabad
64,Damaged Goods,Critical,Fragile goods mishandled during unloading. Reported at Kolkata facility during shift 3.,Resolved,Pune
65,Shipment Delay,Medium,Truck breakdown caused delivery delay. Reported at Hyderabad facility during shift 1.,In Progress,Chennai
66,Shipment Delay,High,Rail transport delay impacted delivery timeline. Reported at Kolkata facility during shift 2.,In Progress,Kolkata
67,Documentation Error,High,Labeling information did not match shipment. Reported at Mumbai facility during shift 2.,Open,Hyderabad
68,Shipment Delay,Medium,Dispatch process delayed at origin facility. Reported at Kolkata facility during shift 1.,Resolved,Bengaluru
69,Damaged Goods,Critical,Pallet collapse resulted in product damage. Reported at Mumbai facility during shift 3.,Resolved,Pune
70,Customs Issue,Critical,Trade compliance review delayed processing. Reported at Mumbai facility during shift 3.,Resolved,Hyderabad
71,Customs Issue,Medium,Tariff classification review in progress. Reported at Pune facility during shift 2.,Resolved,Delhi
72,Inventory Shortage,High,Supplier delay created inventory gap. Reported at Kolkata facility during shift 3.,Open,Hyderabad
73,Transportation Failure,Low,Transportation vendor system outage reported. Reported at Chennai facility during shift 2.,In Progress,Pune
74,Transportation Failure,Low,Fleet utilization exceeded available capacity. Reported at Ahmedabad facility during shift 3.,In Progress,Delhi
75,Customs Issue,Medium,Customs clearance process delayed. Reported at Hyderabad facility during shift 3.,Resolved,Pune
76,Shipment Delay,Medium,Holiday demand surge caused shipping delays. Reported at Bengaluru facility during shift 3.,Open,Delhi
77,Shipment Delay,Medium,Shipment delayed due to customs inspection. Reported at Bengaluru facility during shift 2.,Open,Ahmedabad
78,Transportation Failure,Medium,Trailer availability issue delayed dispatch. Reported at Bengaluru facility during shift 3.,In Progress,Kolkata
79,Inventory Shortage,High,Inventory replenishment delayed. Reported at Chennai facility during shift 1.,Open,Delhi
80,Warehouse Issue,Medium,Put-away process delayed inventory availability. Reported at Ahmedabad facility during shift 1.,Open,Ahmedabad
81,Inventory Shortage,Medium,Unexpected order spike exhausted stock. Reported at Ahmedabad facility during shift 3.,Resolved,Pune
82,Warehouse Issue,High,Order consolidation process delayed shipment. Reported at Ahmedabad facility during shift 3.,Resolved,Kolkata
83,Warehouse Issue,High,Order consolidation process delayed shipment. Reported at Ahmedabad facility during shift 1.,In Progress,Ahmedabad
84,Damaged Goods,Low,Warehouse accident damaged stored inventory. Reported at Bengaluru facility during shift 3.,Resolved,Ahmedabad
85,Customs Issue,Low,Border inspection extended shipment hold. Reported at Hyderabad facility during shift 2.,In Progress,Bengaluru
86,Damaged Goods,Low,Water exposure damaged packaged goods. Reported at Pune facility during shift 3.,Open,Bengaluru
87,Transportation Failure,Low,Equipment malfunction impacted transport operations. Reported at Delhi facility during shift 3.,In Progress,Kolkata
88,Damaged Goods,Low,Temperature excursion affected product quality. Reported at Ahmedabad facility during shift 2.,In Progress,Kolkata
89,Warehouse Issue,Medium,Cycle count discrepancy identified. Reported at Chennai facility during shift 3.,Open,Pune
90,Damaged Goods,Medium,Warehouse accident damaged stored inventory. Reported at Kolkata facility during shift 2.,Resolved,Bengaluru
91,Transportation Failure,Medium,Logistics partner experienced operational failure. Reported at Hyderabad facility during shift 2.,In Progress,Pune
92,Customs Issue,Low,Customs valuation dispute identified. Reported at Kolkata facility during shift 3.,In Progress,Delhi
93,Documentation Error,Medium,Labeling information did not match shipment. Reported at Chennai facility during shift 2.,Resolved,Chennai
94,Shipment Delay,High,Shipment rerouted causing additional transit time. Reported at Kolkata facility during shift 1.,Open,Chennai
95,Damaged Goods,Medium,Pallet collapse resulted in product damage. Reported at Pune facility during shift 1.,In Progress,Kolkata
96,Damaged Goods,High,Warehouse accident damaged stored inventory. Reported at Kolkata facility during shift 2.,In Progress,Chennai
97,Customs Issue,Low,Shipment flagged for compliance audit. Reported at Chennai facility during shift 2.,Open,Chennai
98,Warehouse Issue,High,Warehouse stock mismatch identified. Reported at Bengaluru facility during shift 1.,Resolved,Delhi
99,Inventory Shortage,Low,Inventory replenishment delayed. Reported at Ahmedabad facility during shift 3.,Open,Ahmedabad
100,Customs Issue,Medium,Regulatory verification delayed release. Reported at Pune facility during shift 1.,Resolved,Mumbai
101,Warehouse Issue,Low,Warehouse staffing shortage reported. Reported at Delhi facility during shift 2.,Open,Hyderabad
102,Documentation Error,Critical,Missing certificate delayed shipment release. Reported at Kolkata facility during shift 2.,Open,Mumbai
103,Documentation Error,Medium,Data entry error impacted shipment records. Reported at Bengaluru facility during shift 1.,In Progress,Mumbai
104,Warehouse Issue,Medium,Cycle count discrepancy identified. Reported at Chennai facility during shift 2.,Resolved,Pune
105,Shipment Delay,High,Cargo loading completed behind schedule. Reported at Pune facility during shift 1.,In Progress,Mumbai
106,Transportation Failure,Low,Driver unavailable for scheduled route. Reported at Ahmedabad facility during shift 3.,Open,Hyderabad
107,Documentation Error,Medium,Invoice value discrepancy identified. Reported at Ahmedabad facility during shift 2.,Resolved,Hyderabad
108,Damaged Goods,Low,Transit vibration caused product defects. Reported at Bengaluru facility during shift 1.,In Progress,Bengaluru
109,Warehouse Issue,Low,Warehouse management system outage reported. Reported at Kolkata facility during shift 2.,In Progress,Delhi
110,Transportation Failure,Medium,Logistics partner experienced operational failure. Reported at Pune facility during shift 2.,Resolved,Hyderabad
111,Documentation Error,Low,Incorrect shipping documentation submitted. Reported at Bengaluru facility during shift 1.,In Progress,Ahmedabad
112,Documentation Error,Medium,Invoice value discrepancy identified. Reported at Bengaluru facility during shift 3.,Resolved,Ahmedabad
113,Transportation Failure,Low,Third-party carrier cancelled shipment booking. Reported at Chennai facility during shift 1.,In Progress,Bengaluru
114,Damaged Goods,Medium,Fragile goods mishandled during unloading. Reported at Pune facility during shift 2.,In Progress,Kolkata
115,Customs Issue,High,Shipment flagged for compliance audit. Reported at Pune facility during shift 2.,In Progress,Hyderabad
116,Damaged Goods,Low,Forklift accident damaged inventory. Reported at Mumbai facility during shift 3.,Open,Delhi
117,Inventory Shortage,High,Demand exceeded available stock levels. Reported at Ahmedabad facility during shift 2.,Resolved,Hyderabad
118,Shipment Delay,Low,Holiday demand surge caused shipping delays. Reported at Bengaluru facility during shift 2.,Open,Hyderabad
119,Shipment Delay,Low,Dispatch process delayed at origin facility. Reported at Delhi facility during shift 2.,Open,Hyderabad
120,Customs Issue,High,Import documentation under review. Reported at Ahmedabad facility during shift 1.,Resolved,Hyderabad
121,Transportation Failure,Low,Fleet utilization exceeded available capacity. Reported at Ahmedabad facility during shift 2.,Open,Hyderabad
122,Warehouse Issue,Medium,Warehouse management system outage reported. Reported at Mumbai facility during shift 1.,Open,Chennai
123,Inventory Shortage,Critical,Inventory replenishment delayed. Reported at Hyderabad facility during shift 1.,Open,Kolkata
124,Documentation Error,Medium,Documentation approval pending correction. Reported at Bengaluru facility during shift 3.,In Progress,Hyderabad
125,Warehouse Issue,Medium,Cycle count discrepancy identified. Reported at Kolkata facility during shift 2.,Open,Mumbai
126,Warehouse Issue,Medium,Warehouse processing backlog reported. Reported at Bengaluru facility during shift 2.,Open,Bengaluru
127,Inventory Shortage,Low,Backordered items unavailable for dispatch. Reported at Mumbai facility during shift 1.,In Progress,Ahmedabad
128,Damaged Goods,High,Package damaged during transportation. Reported at Bengaluru facility during shift 2.,Resolved,Ahmedabad
129,Shipment Delay,High,Shipment rerouted causing additional transit time. Reported at Bengaluru facility during shift 2.,Resolved,Bengaluru
130,Transportation Failure,Low,Transport route disruption due to road closure. Reported at Bengaluru facility during shift 3.,In Progress,Delhi
131,Shipment Delay,Medium,Shipment delayed due to customs inspection. Reported at Delhi facility during shift 2.,Resolved,Hyderabad
132,Transportation Failure,Medium,Transport route disruption due to road closure. Reported at Ahmedabad facility during shift 3.,In Progress,Hyderabad
133,Documentation Error,Low,Labeling information did not match shipment. Reported at Ahmedabad facility during shift 2.,Open,Kolkata
134,Customs Issue,Low,Customs requested additional documentation. Reported at Hyderabad facility during shift 1.,Resolved,Chennai
135,Warehouse Issue,Low,Dock congestion slowed warehouse throughput. Reported at Hyderabad facility during shift 3.,Open,Ahmedabad
136,Documentation Error,Low,Missing certificate delayed shipment release. Reported at Ahmedabad facility during shift 2.,Resolved,Kolkata
137,Customs Issue,Medium,Trade compliance review delayed processing. Reported at Ahmedabad facility during shift 1.,In Progress,Pune
138,Damaged Goods,Medium,Fragile goods mishandled during unloading. Reported at Mumbai facility during shift 1.,Resolved,Ahmedabad
139,Damaged Goods,Low,Fragile goods mishandled during unloading. Reported at Kolkata facility during shift 3.,Open,Pune
140,Damaged Goods,High,Water exposure damaged packaged goods. Reported at Mumbai facility during shift 2.,Open,Ahmedabad
141,Transportation Failure,Medium,Delivery vehicle breakdown reported. Reported at Bengaluru facility during shift 3.,In Progress,Ahmedabad
142,Warehouse Issue,Medium,Warehouse stock mismatch identified. Reported at Bengaluru facility during shift 2.,In Progress,Ahmedabad
143,Customs Issue,Critical,Import permit approval pending. Reported at Mumbai facility during shift 1.,Resolved,Bengaluru
144,Customs Issue,Low,Import documentation under review. Reported at Hyderabad facility during shift 3.,In Progress,Mumbai
145,Inventory Shortage,Critical,Inventory reservation conflict identified. Reported at Mumbai facility during shift 2.,Resolved,Delhi
146,Transportation Failure,High,Trailer availability issue delayed dispatch. Reported at Hyderabad facility during shift 3.,In Progress,Ahmedabad
147,Transportation Failure,Low,Logistics partner experienced operational failure. Reported at Ahmedabad facility during shift 3.,Open,Delhi
148,Warehouse Issue,Medium,Picking error occurred in warehouse. Reported at Hyderabad facility during shift 2.,Resolved,Hyderabad
149,Warehouse Issue,Low,Warehouse stock mismatch identified. Reported at Hyderabad facility during shift 3.,Resolved,Ahmedabad
150,Warehouse Issue,Medium,Storage location information incorrect. Reported at Ahmedabad facility during shift 3.,In Progress,Kolkata
151,Transportation Failure,Critical,Trailer availability issue delayed dispatch. Reported at Pune facility during shift 1.,Open,Kolkata
152,Inventory Shortage,Medium,Inventory reservation conflict identified. Reported at Kolkata facility during shift 1.,In Progress,Kolkata
153,Transportation Failure,Critical,Accident blocked scheduled delivery route. Reported at Delhi facility during shift 2.,Open,Pune
154,Warehouse Issue,Medium,Picking error occurred in warehouse. Reported at Ahmedabad facility during shift 1.,In Progress,Chennai
155,Customs Issue,Critical,Import documentation under review. Reported at Kolkata facility during shift 3.,Open,Ahmedabad
156,Warehouse Issue,Medium,Inventory allocation issue detected. Reported at Pune facility during shift 3.,Resolved,Mumbai
157,Warehouse Issue,Medium,Receiving delay impacted warehouse operations. Reported at Kolkata facility during shift 2.,In Progress,Chennai
158,Documentation Error,Medium,Missing invoice delayed processing. Reported at Bengaluru facility during shift 3.,In Progress,Bengaluru
159,Customs Issue,High,Customs clearance process delayed. Reported at Kolkata facility during shift 1.,Resolved,Mumbai
160,Transportation Failure,Low,Carrier failed to pick up shipment. Reported at Hyderabad facility during shift 1.,Open,Hyderabad
161,Damaged Goods,Low,Water exposure damaged packaged goods. Reported at Kolkata facility during shift 1.,In Progress,Delhi
162,Inventory Shortage,High,Inventory replenishment delayed. Reported at Mumbai facility during shift 3.,Resolved,Bengaluru
163,Transportation Failure,Medium,Trailer availability issue delayed dispatch. Reported at Delhi facility during shift 1.,In Progress,Ahmedabad
164,Damaged Goods,Critical,Fragile goods mishandled during unloading. Reported at Chennai facility during shift 2.,Resolved,Delhi
165,Shipment Delay,Low,Last-mile delivery partner unavailable. Reported at Pune facility during shift 3.,In Progress,Hyderabad
166,Transportation Failure,Critical,Transportation network disruption reported. Reported at Hyderabad facility during shift 1.,In Progress,Mumbai
167,Inventory Shortage,Low,Supplier delay created inventory gap. Reported at Pune facility during shift 3.,Resolved,Hyderabad
168,Shipment Delay,Low,Holiday demand surge caused shipping delays. Reported at Kolkata facility during shift 2.,Resolved,Chennai
169,Documentation Error,High,Data entry error impacted shipment records. Reported at Ahmedabad facility during shift 2.,Open,Pune
170,Inventory Shortage,Low,Raw material shortage impacted production. Reported at Bengaluru facility during shift 3.,Resolved,Delhi
171,Customs Issue,High,Customs clearance process delayed. Reported at Chennai facility during shift 2.,Open,Pune
172,Customs Issue,Medium,Import documentation under review. Reported at Mumbai facility during shift 2.,In Progress,Delhi
173,Inventory Shortage,Medium,Inventory replenishment delayed. Reported at Pune facility during shift 3.,In Progress,Delhi
174,Damaged Goods,High,Receiving inspection identified damaged goods. Reported at Ahmedabad facility during shift 2.,In Progress,Mumbai
175,Transportation Failure,High,Transport route disruption due to road closure. Reported at Delhi facility during shift 1.,Resolved,Kolkata
176,Warehouse Issue,High,Space constraint affected storage operations. Reported at Pune facility during shift 1.,Open,Hyderabad
177,Documentation Error,Medium,Missing invoice delayed processing. Reported at Ahmedabad facility during shift 2.,Resolved,Hyderabad
178,Documentation Error,Medium,Purchase order details inconsistent. Reported at Pune facility during shift 1.,In Progress,Chennai
179,Documentation Error,Low,Shipping label generated with incorrect address. Reported at Pune facility during shift 3.,Open,Ahmedabad
180,Customs Issue,Low,Regulatory verification delayed release. Reported at Kolkata facility during shift 1.,Open,Hyderabad
181,Transportation Failure,High,Transport route disruption due to road closure. Reported at Mumbai facility during shift 1.,Open,Kolkata
182,Transportation Failure,High,Driver unavailable for scheduled route. Reported at Kolkata facility during shift 3.,Open,Kolkata
183,Customs Issue,Medium,Customs clearance process delayed. Reported at Ahmedabad facility during shift 3.,In Progress,Chennai
